PID CMD
801 avahi-daemon:
691 avahi-daemon:
5676 awk
3290 bash
20 [cpuhp/0]
21 [cpuhp/1]
27 [cpuhp/2]
33 [cpuhp/3]
39 [cpuhp/4]
45 [cpuhp/5]
696 @dbus-daemon
91 [ecryptfs-kthread]
1855 fusermount3
1764 gdm-session-worker
4974 gjs
19 [idle_inject/0]
22 [idle_inject/1]
28 [idle_inject/2]
34 [idle_inject/3]
40 [idle_inject/4]
46 [idle_inject/5]
375 [irq/18-vmwgfx]
76 [irq/9-acpi]
246 [jbd2/sda2-8]
63 [kauditd]
70 [kcompactd0]
58 [kdevtmpfs]
72 [khugepaged]
65 [khungtaskd]
71 [ksmd]
16 [ksoftirqd/0]
24 [ksoftirqd/1]
30 [ksoftirqd/2]
36 [ksoftirqd/3]
42 [ksoftirqd/4]
48 [ksoftirqd/5]
90 [kswapd0]
2 [kthreadd]
5636 [kworker/0:0H]
5557 [kworker/0:0-mm_percpu_wq]
5063 [kworker/0:1H]
5630 [kworker/0:1-mm_percpu_wq]
5621 [kworker/0:2H-kblockd]
5221 [kworker/0:2-mm_percpu_wq]
5337 [kworker/1:0-mm_percpu_wq]
5659 [kworker/1:1-events]
5182 [kworker/1:1H-kblockd]
5115 [kworker/1:2H-kblockd]
5603 [kworker/1:2-mm_percpu_wq]
5059 [kworker/2:0H-kblockd]
4826 [kworker/2:0-mm_percpu_wq]
5165 [kworker/2:1-mm_percpu_wq]
5169 [kworker/2:2H-kblockd]
5095 [kworker/3:1-cgroup_destroy]
5149 [kworker/3:1H]
5418 [kworker/3:2H-kblockd]
5242 [kworker/3:2-mm_percpu_wq]
5120 [kworker/4:0H-kblockd]
4564 [kworker/4:0-mm_percpu_wq]
5129 [kworker/4:1-events]
5191 [kworker/4:2H]
5017 [kworker/5:0H]
4935 [kworker/5:0-mm_percpu_wq]
5082 [kworker/5:1H-kblockd]
5537 [kworker/5:2]
93 [kworker/R-acpi_]
82 [kworker/R-ata_s]
75 [kworker/R-blkcg]
136 [kworker/R-charg]
678 [kworker/R-crypt]
86 [kworker/R-devfr]
85 [kworker/R-edac-]
247 [kworker/R-ext4-]
61 [kworker/R-inet_]
103 [kworker/R-ipv6_]
74 [kworker/R-kbloc]
73 [kworker/R-kinte]
114 [kworker/R-kstrp]
92 [kworker/R-kthro]
83 [kworker/R-md]
84 [kworker/R-md_bi]
102 [kworker/R-mld]
12 [kworker/R-mm_pe]
7 [kworker/R-netns]
4 [kworker/R-rcu_g]
5 [kworker/R-rcu_p]
97 [kworker/R-scsi_]
99 [kworker/R-scsi_]
196 [kworker/R-scsi_]
6 [kworker/R-slub_]
81 [kworker/R-tpm_d]
376 [kworker/R-ttm]
68 [kworker/R-write]
4448 [kworker/u12:0-ext4-rsv-conversion]
51 [kworker/u12:1-ext4-rsv-conversion]
5602 [kworker/u13:0-events_unbound]
5327 [kworker/u13:1-events_unbound]
5674 [kworker/u13:2-events_unbound]
4937 [kworker/u14:0-events_power_efficient]
5260 [kworker/u14:2-events_power_efficient]
5541 [kworker/u14:3-events_unbound]
5628 [kworker/u15:0-events_power_efficient]
5073 [kworker/u15:1-events_freezable_power_]
5147 [kworker/u15:2-events_power_efficient]
5556 [kworker/u16:0-events_unbound]
5652 [kworker/u16:1-writeback]
4520 [kworker/u16:2-events_unbound]
5622 [kworker/u17:1-events_unbound]
4908 [kworker/u17:2-events_unbound]
5534 [kworker/u17:3-events_power_efficient]
5097 [kworker/u18:0-events_freezable_power_]
67 [kworker/u18:1-events_unbound]
5170 [kworker/u18:2-events_power_efficient]
116 [kworker/u19:0]
117 [kworker/u20:0]
118 [kworker/u21:0]
119 [kworker/u22:0-ttm]
2606 [kworker/u22:1]
120 [kworker/u23:0]
121 [kworker/u24:0]
122 [kworker/u25:0]
18 [migration/0]
23 [migration/1]
29 [migration/2]
35 [migration/3]
41 [migration/4]
47 [migration/5]
66 [oom_reaper]
3 [pool_workqueue_release]
5675 ps
427 [psimon]
1230 [psimon]
17 [rcu_preempt]
13 [rcu_tasks_kthread]
14 [rcu_tasks_rude_kthread]
15 [rcu_tasks_trace_kthread]
1 /sbin/init
96 [scsi_eh_0]
98 [scsi_eh_1]
195 [scsi_eh_2]
1778 (sd-pam)
2338 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
2454 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
2045 /usr/bin/dbus-daemon
1803 /usr/bin/dbus-daemon
2664 /usr/bin/gjs
2142 /usr/bin/gjs
1810 /usr/bin/gnome-keyring-daemon
